GENESIS-Tabelle: 12411-0010
Bevölkerung: Bundesländer, Stichtag;
Fortschreibung des Bevölkerungsstandes;
Bevölkerungsstand (Anzahl);
;Stichtag
;31.12.2020
Baden-Württemberg;11103043
Bayern;13140183
Berlin;3664088
Brandenburg;2531071
Bremen;680130
Hamburg;1852478
Hessen;6293154
Mecklenburg-Vorpommern;1610774
Niedersachsen;8003421
Nordrhein-Westfalen;17925570
Rheinland-Pfalz;4098391
Saarland;983991
Sachsen;4056941
Sachsen-Anhalt;2180684
Schleswig-Holstein;2910875
Thüringen;2120237
__________
"Berlin: bis 1990 nur Berlin-West
Neue Länder ab 1991

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2021
Stand: 27.11.2021 / 11:35:12
